year,imdb,title,test,clean_test,binary,budget,domgross,intgross,genre,Horror,Comedy,Action,Romance,Sci-Fi,Drama,Historic Fiction,Fantasy,Thriller,Sum
2009,tt0327597,Coraline,ok,ok,PASS,60000000,75286229,126037057,"Animation, Drama, Family",0,0,0,0,0,1,0,0,0,1
2009,tt0433362,Daybreakers,notalk,notalk,FAIL,20000000,30101577,51401577,"Action, Fantasy, Horror",1,0,1,0,0,0,0,1,0,3
2009,tt1278340,Dead Snow,men-disagree,men,FAIL,800000,46742,2194020,"Comedy, Horror",1,1,0,0,0,0,0,0,0,2
2009,tt1136608,District 9,notalk-disagree,notalk,FAIL,30000000,115646235,215196627,"Action, Sci-Fi, Thriller",0,0,1,0,1,0,0,0,1,3
2009,tt1127180,Drag Me to Hell,ok,ok,PASS,30000000,42100625,91388487,"Horror, Thriller",1,0,0,0,0,0,0,0,1,2
2009,tt1191111,Enter the Void,notalk,notalk,FAIL,16000000,337997,337997,"Drama, Fantasy",0,0,0,0,0,1,0,1,0,2
2009,tt0780511,Everybody&#39;s Fine,men,men,FAIL,20000000,9208876,9208876,Drama,0,0,0,0,0,1,0,0,0,1
2009,tt0432283,Fantastic Mr. Fox,notalk,notalk,FAIL,40000000,21002919,46498922,"Animation, Adventure, Comedy",0,1,1,0,0,0,0,0,0,2
2009,tt1013752,Fast &amp; Furious,notalk,notalk,FAIL,85000000,155064265,363064265,"Action, Thriller",0,0,1,0,0,0,0,0,1,2
2009,tt1083456,Fired Up!,notalk,notalk,FAIL,20000000,17231291,18608570,"Comedy, Sport",0,1,0,0,0,0,0,0,0,1
2009,tt1232776,Fish Tank,ok,ok,PASS,3000000,374675,5922292,Drama,0,0,0,0,0,1,0,0,0,1
2009,tt0758746,Friday the 13th,men,men,FAIL,17000000,65002019,91700771,"Horror, Mystery, Thriller",1,0,0,0,0,0,0,0,1,2
2009,tt1201167,Funny People,notalk,notalk,FAIL,72500000,51855045,71880305,"Comedy, Drama",0,1,0,0,0,1,0,0,0,2
2009,tt0436339,G-Force,notalk,notalk,FAIL,150000000,119436770,287389685,"Animation, Action, Adventure",0,0,1,0,0,0,0,0,0,1
2009,tt1046173,G.I. Joe: The Rise of Cobra,notalk-disagree,notalk,FAIL,175000000,150201498,302469017,"Action, Adventure, Sci-Fi",0,0,1,0,1,0,0,0,0,2
2009,tt1034032,Gamer,notalk,notalk,FAIL,50000000,20534907,35062683,"Action, Sci-Fi, Thriller",0,0,1,0,1,0,0,0,1,3
2009,tt1194263,Get Low,notalk-disagree,notalk,FAIL,7000000,9176933,9696933,"Drama, Mystery",0,0,0,0,0,1,0,0,0,1
2009,tt1289406,Harry Brown,notalk,notalk,FAIL,7300000,1818681,6294140,"Action, Crime, Drama",0,0,1,0,0,1,0,0,0,2
2009,tt0417741,Harry Potter and the Half-Blood Prince,ok-disagree,ok,PASS,250000000,301959197,934416487,"Action, Adventure, Family",0,0,1,0,0,0,0,0,0,1
2009,tt1001508,He&#39;s Just Not That Into You,ok,ok,PASS,40000000,93953653,178390243,"Comedy, Drama, Romance",0,1,0,1,0,1,0,0,0,3
2009,tt1024744,I Come with the Rain,nowomen,nowomen,FAIL,18000000,0,627422,Thriller,0,0,0,0,0,0,0,0,1,1
2009,tt1045772,I Love You Phillip Morris,notalk-disagree,notalk,FAIL,13000000,2037459,15144685,"Biography, Comedy, Crime",0,1,0,0,0,0,1,0,0,2
2009,tt1155056,"I Love You, Man",men-disagree,men,FAIL,40000000,71440011,91729503,"Comedy, Romance",0,1,0,1,0,0,0,0,0,2
2009,tt1080016,Ice Age: Dawn of the Dinosaurs,notalk,notalk,FAIL,90000000,196573705,886968695,"Animation, Adventure, Comedy",0,1,1,0,0,0,0,0,0,2
2009,tt0361748,Inglourious Basterds,dubious-disagree,dubious,FAIL,70000000,120831050,316971720,"Adventure, Drama, War",0,0,1,0,0,1,0,0,0,2
2009,tt1057500,Invictus,notalk,notalk,FAIL,49000000,37491364,124491364,"Biography, Drama, History",0,0,0,0,0,1,1,0,0,2
2009,tt1230414,It&#39;s Complicated,ok,ok,PASS,85000000,112735375,224614744,"Comedy, Drama, Romance",0,1,0,1,0,1,0,0,0,3
2009,tt1131734,Jennifer&#39;s Body,ok,ok,PASS,16000000,16204793,32832166,"Comedy, Horror",1,1,0,0,0,0,0,0,0,2
2009,tt1135503,Julie &amp; Julia,ok,ok,PASS,40000000,94125426,126646119,"Biography, Drama, Romance",0,0,0,1,0,1,1,0,0,3
2009,tt0448011,Knowing,notalk,notalk,FAIL,50000000,79957634,187858642,"Action, Drama, Mystery",0,0,1,0,0,1,0,0,0,2
2009,tt1197624,Law Abiding Citizen,notalk-disagree,notalk,FAIL,53000000,73357727,131159781,"Action, Crime, Drama",0,0,1,0,0,1,0,0,0,2
2009,tt0808526,Life During Wartime,ok,ok,PASS,4500000,281447,281447,"Comedy, Drama",0,1,0,0,0,1,0,0,0,2
2009,tt1149361,Micmacs (Micmacs &agrave; tire-larigot),dubious,dubious,FAIL,42000000,1259693,11756922,"Action, Comedy, Crime",0,1,1,0,0,0,0,0,0,2
2009,tt0892782,Monsters vs Aliens,dubious-disagree,dubious,FAIL,175000000,198351526,381687380,"Animation, Action, Adventure",0,0,1,0,0,0,0,0,0,1
2009,tt1182345,Moon,notalk-disagree,notalk,FAIL,5000000,5010163,10676073,"Drama, Mystery, Sci-Fi",0,0,0,0,1,1,0,0,0,2
2009,tt1121977,Mother and Child,ok,ok,PASS,7000000,1110509,5010509,"Drama, Romance",0,0,0,1,0,1,0,0,0,2
2009,tt1179891,My Bloody Valentine 3D,men,men,FAIL,14000000,51545952,102754998,"Horror, Mystery, Thriller",1,0,0,0,0,0,0,0,1,2
